user_id_order,isbn_id,rating,book_title,book_author,year_of_publication,publisher,isbn,user_id
30,79,7,Storm Surge: A Quin St. James and Mike McCleary Mystery,T. J. MacGregor,1993,Hyperion Books,1562827898,276800
32,80,0,Walk Two Moons,Sharon Creech,1996,HarperTrophy,64405176,276804
32,81,0,Bloomability,Sharon Creech,0,Scholastic Inc,439104769,276804
32,82,8,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,440498058,276804
33,83,10,"Richard Brautigan : A Confederate General from Big Sur, Dreaming of Babylon, and the Hawkline Monster (Three Books in the Manner of Their Original ed)",Richard Brautigan,1991,Mariner Books,395547032,276808
34,84,10,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling,440414121,276811
35,84,10,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling,440414121,276904
36,84,8,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling,440414121,278314
37,85,0,Por los pelos,Miriam Keyes,2000,Downtown Book Center,8401328322,276813
37,86,0,007 El Mundo Nunca Es Suficiente,Raymond Benson,1999,"Plaza &amp; Janes Editores, S.A.",8401461189,276813
37,87,0,Cinco Semanas En Globo (Espasa Bolsillo),Verne,0,Plaza &amp; Janes Editor,8401471796,276813
37,88,8,La hija del CanÃ­bal,Rosa Montero,1998,"Espasa Calpe Mexicana, S.A.",8423996565,276813
37,89,0,"Los Calusari/the Calusari (Coleccion \Expediente X\""/the X Files Series)""",Garth Nix,1998,Everest Pub,8424130081,276813
37,90,8,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana,8426449476,276813
37,91,6,Bridget Jones:SobrevivirÃ©,Helen Fielding,2000,Downtown Book Center Inc,8426449573,276813
37,92,6,La Fiesta De Ralph,Lisa Jewell,0,Emece Editores,8478885218,276813
37,93,8,Nadie Es Perfecto (Narrativa Actual),Jane Green,2001,Oceano De Mexico,8478886044,276813
37,94,0,Katie.com,Katherine Tarbox,2001,Umbriel,8495618052,276813
38,95,8,The Circle And The Cross 1: Playing Of,Caiseal Mor,1996,Random House Australia,91830893,276814
38,96,9,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books,812571029,276814
39,97,0,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press,671749609,276817
40,98,0,The Rebel Angels,Robertson Davies,1983,Penguin Books,140062718,276820
41,99,10,The Boy Next Door,Meggin Cabot,2002,Avon Trade,60096195,276822
42,99,9,The Boy Next Door,Meggin Cabot,2002,Avon Trade,60096195,278554
41,100,9,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books,141310340,276822
41,101,10,Growing Wings,Laurel Winter,2002,Puffin Books,142302198,276822
41,102,9,The Riddle of Scheherazade: And Other Amazing Puzzles,Raymond Smullyan,1998,Harvest Books,156006065,276822
41,103,9,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,375821813,276822
41,104,10,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books,038076041X,276822
41,105,0,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature,439087597,276822
41,106,6,The Contest,Gordon Korman,2002,Scholastic,439401399,276822
41,107,8,A String in the Harp,Nancy Bond,1996,Aladdin,689804458,276822
41,108,9,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children,786812508,276822
41,109,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,786817070,276822
3,109,0,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,786817070,278418
41,110,10,The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,1998,Henry Holt &amp; Company,805057706,276822
41,111,8,Surviving Sam,Karen Rivers,2002,Polestar Book Publishers,1551925060,276822
41,112,10,Random Acts of Kindness,Dawna Markova,2002,Conari Press,1573248533,276822
43,113,0,Round about Midnight: A Portrait of Miles Davis,Eric Nisenson,1982,Dial Press,385272324,276828
43,114,0,Ubu Roi*,Jarry,0,Editions Larousse,2038701962,276828
43,115,0,Des bateaux dans la nuit,Philippe Labro,1982,Gallimard,2070264564,276828
43,116,0,Contes De Ma Mere L'Oye,Charles Perrault,0,FOLIO,2070334430,276828
43,117,0,Les Confessions: Livres I Ã?Â  IV,Jean-Jacques Rousseau,1997,Gallimard,2070403734,276828
43,118,0,Jean-Edern Hallier,Sarah Vajda,2003,Flammarion,2080680676,276828
43,119,0,Les derniers poÃ?Â¨mes d'amour,Paul Eluard,2002,Seghers,2232122263,276828
43,120,0,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF,2253044903,276828
44,120,0,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF,2253044903,277681
43,121,7,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks,2253150711,276828
44,121,0,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks,2253150711,277681
43,122,0,L'Orage,Deforges,2000,Pocket (FR),2266076000,276828
43,123,0,Maudit Manege,Philippe Djian,0,Kurtzman Sales Inc,2277221678,276828
43,124,0,Le chateau des carpathes,Jules Verne,2002,J'ai lu,2290321028,276828
43,125,0,La petite Ã?Â©cuyÃ?Â¨re a caftÃ?Â©,Jean-Bernard Pouy,1997,Baleine,2842190009,276828
45,126,9,Move to Strike,Perri O'Shaughnessy,2001,Island,440225825,276830
46,127,0,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books,316781266,276832
46,128,5,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,345446860,276832
47,128,0,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,345446860,277143
48,129,0,"Field of Dishonor (Honor Harrington Series, Book 4)",David Weber,1994,Baen,671876244,276833
49,130,10,Of Mice and Men. Text and Study Aids. (Lernmaterialien),John Steinbeck,2001,Klett,3125785006,276835
50,131,5,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books,380005239,276837
51,132,0,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports,1593080255,276838
52,133,0,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers,385729340,276840
53,133,0,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers,385729340,278633
54,134,0,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,446364193,276847
3,134,0,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,446364193,278418
54,135,0,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig",3379015180,276847
54,136,8,Der Stein der Kelten.,Michael Phillips,2001,LÃ?Â¼bbe,3404145909,276847
54,137,8,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe,3404148576,276847
54,138,7,Nur der Tod ist ohne Makel.,Ann Granger,2002,LÃ?Â¼bbe,3404921178,276847
54,139,10,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks,3423071516,276847
54,140,0,Die Benachteiligung erfolgt durch die Post. StilblÃ?Â¼ten aus Inseraten und Pressenotizen.,Georg Friedrich Nikol,2001,Dtv,3423204885,276847
54,141,0,Lieber Sport als Mord.,Horst Bosetzky,2002,Dtv,3423205806,276847
54,142,0,Gratsch.,Jockel Tschiersch,2003,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",3426622610,276847
54,143,8,Das geheime ABC der Toten.,Patricia Cornwell,1997,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",3426671298,276847
54,144,9,Hitlers Kinder.,Guido Knopp,2001,Goldmann,344215121X,276847
54,145,10,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann,3442413508,276847
54,146,9,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann,3442422035,276847
54,147,8,Denn keiner ist ohne Schuld.,Elizabeth George,1996,Goldmann,3442435773,276847
54,148,7,Asche zu Asche.,Elizabeth George,1997,Goldmann,3442437717,276847
54,149,10,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann,3442441080,276847
54,150,0,Reif fÃ?Â¼r die Insel. England fÃ?Â¼r AnfÃ?Â¤nger und Fortgeschrittene.,Bill Bryson,1999,Goldmann,3442442796,276847
54,151,8,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann,3442444020,276847
54,152,10,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann,3442446414,276847
54,153,7,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann,3442448530,276847
54,154,9,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001,Goldmann,3442449820,276847
54,155,6,Der Goldene Kompass / The Golden Compass,Philip Pullman,2002,Distribooks,3453137442,276847
54,156,0,Auf dÃ?Â¼nnem Eis.,Charles Todd,2003,Heyne,3453870190,276847
54,157,7,Die Welle,Rhue,1998,"Ullstein-Taschenbuch-Verlag, Zweigniederlassung der Ullstein Buchverlage GmbH",347354034X,276847
54,158,9,Der UnterhÃ?Â¤ndler.,Frederick Forsyth,2000,Piper,3492231322,276847
54,159,0,Inspektor Jury kÃ?Â¼Ã?Â?t die Muse. Roman.,Martha Grimes,2003,Rowohlt Tb.,349912176X,276847
54,160,7,Im Keller.,Jan Philipp Reemtsma,1998,Rowohlt Tb.,3499222213,276847
54,161,6,"Alte Freunde, neue Feinde. Ein Fall fÃ?Â¼r Bernhard Gunther.",Philip Kerr,2000,Rowohlt Tb.,3499228297,276847
54,162,0,Der Tag X.,Philip Kerr,2002,Rowohlt Tb.,3499232529,276847
54,163,0,Tod im weiÃ?Â?en HÃ?Â¤ubchen.,P. D. James,2003,Rowohlt Tb.,3499233436,276847
54,164,0,Inspektor Jury bricht das Eis. Roman.,Martha Grimes,2003,Wunderlich im Rowohlt,3499264528,276847
54,165,8,Goldmann: Feuer in Berlin,Kerr,0,Wilhelm Goldmann Verlag GmbH,3499433443,276847
54,166,10,Le Petit Prince. (FranzÃ?Â¶sische Ausgabe). (Lernmaterialien),Antoine de Saint-Exupery,1981,"F. SchÃ?Â¶ningh, Paderborn",3506464078,276847
54,167,0,Rand.,Jan Kjaerstad,2003,List Tb.,3548602967,276847
54,168,10,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH,3551551677,276847
54,169,10,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH,3551551685,276847
54,170,10,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH,3551551693,276847
54,171,10,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH,3551551936,276847
54,172,9,Saemtliche Erzaehlungen,Franz Kafka,0,Fischer Taschenbuch Verlag,359621078X,276847
54,173,7,Der Herr der Ringe. AnhÃ?Â¤nge und Register.,John Ronald Reuel Tolkien,2000,Klett-Cotta,3608932240,276847
54,174,10,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks,360893541X,276847
55,174,9,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks,360893541X,276861
54,175,10,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks,3608935428,276847
55,175,9,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks,3608935428,276861
54,176,10,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl,3608935436,276847
55,176,9,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl,3608935436,276861
54,177,0,Der Sterne TennisbÃ?Â¤lle.,Stephen Fry,2003,Aufbau Tb,374661922X,276847
54,178,0,Ungarn.,Elke Eberhardt,2002,Dumont Reiseverlag,3770131495,276847
54,179,8,Die Chirurgin.,Tess Gerritsen,2002,Limes,3809024589,276847
54,180,10,Das bizarre Sexualleben der Tiere. Ein populÃ?Â¤res Lexikon von Aal bis Zebra.,Michael Miersch,1999,Eichborn,3821815191,276847
56,181,0,Die siebte GeiÃ?Â?el.,Ann Benson,1998,Goldmann,3442440777,276848
56,182,0,Gevatter Tod. Roman. ( Fantasy).,Terry Pratchett,1990,Heyne,3453042905,276848
56,183,0,Die Jury. Roman.,John Grisham,1992,Heyne,3453061187,276848
56,184,0,Die Firma. Roman.,John Grisham,1993,Heyne,3453071174,276848
56,185,0,Der Regenmacher.,John Grisham,1997,Heyne,3453127013,276848
56,186,0,Kaltgestellt.,Colin Forbes,2002,Heyne,3453211014,276848
56,187,0,Das Superwieb,Hera Lind,2002,Distribooks Inc,3596122279,276848
57,187,5,Das Superwieb,Hera Lind,2002,Distribooks Inc,3596122279,276936
56,188,0,Ich liebe Dich!: Ein Eisenbahnroman mit 66 Intermezzos,Paul Scheerbart,1988,Affholderbach &amp; Strohmann,3922524443,276848
58,189,7,Alaska,James A. Michener,1994,Fawcett Books,449217264,276850
59,189,0,Alaska,James A. Michener,1994,Fawcett Books,449217264,277639
3,189,0,Alaska,James A. Michener,1994,Fawcett Books,449217264,278418
60,190,0,O Pioneers! (Bantam Classic),Willa Cather,1989,Bantam Books,055321358X,276852
61,191,1,Los Trapos Sucios - Manolito Gafotas,Lindo,0,European Schoolbooks Limited,8420457477,276853
61,192,7,Mycroft Holmes Contra La Hermandad,Quinn Fawcett,2000,Timun Mas,8448034023,276853
62,193,5,Soul Survivor,Christopher Golden,1999,Simon Pulse,671034944,276854
62,194,0,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books,843946415,276854
63,195,0,La Citadelle Du Vertige,Grousset,0,Hachette,2010173929,276856
63,196,0,Les Six Compagnons Ã?Â  Scotland Yard,Paul-Jacques Bonzon,1999,Hachette LittÃ?Â©rature,2012003494,276856
63,197,0,Mon bel oranger,JosÃ?Â© Mauro de Vasconcelos,2001,Hachette Jeunesse,2013218826,276856
63,198,0,L'Appel de la forÃ?Âªt,Jack London,2002,Hachette Jeunesse,2013220162,276856
63,199,0,Un Bon Petit Diable,Segur,0,Livre de Poche,207033015X,276856
63,200,0,Les derniers gÃ?Â©ants,FranÃ?Â§ois Place,1993,Casterman,2203142278,276856
63,201,0,"Iznogoud, tome 2 : Les complots d'Iznogoud",Philippe Tabary,1996,Dargaud,2205040561,276856
63,202,0,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc,2253005274,276856
63,203,0,"Percevan, tome 1 : Les Trois Etoiles d'Ingaar",Philippe Luguy,1993,GlÃ?Â©nat,2723402983,276856
63,204,0,"Les Tuniques bleues, tome 1 : un chariot dans l'ouest",Louis SalvÃ?Â©rius,1986,Dupuis,2800108584,276856
63,205,0,"BD Pirate : Cupidon, tome 2 : Philtre d'amour",Malik,2003,Dupuis,2800134259,276856
63,206,0,"BD Pirate : Cupidon, tome 3 : Baiser de feu",Malik,2003,Dupuis,2800134267,276856
63,207,0,"LÃ?Â©onard, tome 1 : LÃ?Â©onard est un gÃ?Â©nie",Bob de Groot,2002,Le Lombard,2803616998,276856
64,208,0,What's That Pig Outdoors: A Memoir of Deafness,Henry Kisor,1991,Penguin Books,014014899X,276859
64,209,0,"The Power to Harm: Mind, Medicine, and Murder on Trial",John Cornwell,1998,Penguin Books,140269967,276859
64,210,0,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA,140328742,276859
64,211,0,Tales of the Greek Heroes: Retold from the Ancient Authors (Puffin Classics),Roger Lancelyn Green,1995,Puffin Books,140366830,276859
64,212,0,Kim (Puffin Classics-the Essential Collection),Rudyard Kipling,1996,Puffin Books,140367446,276859
64,213,0,How to Deal With Your Parents: When They Still Treat You Like a Child,Lynn Osterkamp,1992,Berkley Pub Group,425131378,276859
64,214,7,French Cuisine for All,Louisette Bertholle,1987,Weathervane Books,517642689,276859
64,215,0,Journey Through Nature (Journey Through Series),Jim Flegg,1992,Egmont Childrens Books,600571165,276859
64,216,8,Going Inside: A Couple's Journey of Renewal into the North,Alan S. Kesselheim,1995,McClelland &amp; Stewart Ltd,077104450X,276859
64,217,8,The Complete Idiot's Guide to the Microsoft Network,John Pivovarnick,1995,Que,789706032,276859
64,218,10,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing,836218833,276859
8,218,0,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing,836218833,277427
64,219,10,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing,836220889,276859
64,220,9,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994,BBS Publishing Corporation,088365721X,276859
64,221,6,Dear Children of the Earth: A Letter from Home,Schim Schimmel,1994,Northword Press,1559712252,276859
64,222,8,The Complete Idiots Guide to Getting the Job You Want (W/2 Discs),Marc A. Dorio,1995,Macmillan Distribution,1567616089,276859
64,223,0,Deux Grands Ducs Dans La Famille (Collection Des Deux Solitudes: Jeunesse),Farley Mowat,1980,P. Tisseyere,2890510328,276859
64,224,0,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag,3257227264,276859
55,225,0,Die rote Antilope.,Henning Mankell,2003,Dtv,342313075X,276861
55,226,10,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks,3423201509,276861
55,227,8,Der Unsichtbare. ( Ab 13 J.).,Mats Wahl,2001,Carl Hanser Verlag,3446200452,276861
55,228,6,Die MÃ?Â¤dchen mit den dunklen Augen.,Judith Lennox,2003,Piper,349223903X,276861
55,229,9,Die Kunst des Verschwindens.,Jim Dodge,2002,Rowohlt Tb.,3499231603,276861
55,230,8,Was Mir Wichtig War: Letzte Aufzeichnungen Und Gesprache,Marion Grafin Donhoff,2002,Verlag Wolf Jobst Siedler GmbH,3886807843,276861
65,231,0,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books,345423402,276862
65,232,9,"Battle Angel Alita - Fallen Angel (Battle Angel Alita , No.8)",Yukito Kishiro,1998,Viz Communications,1569312435,276862
65,233,8,Ice Blade: Snow Country (Ice Blade),Tutomu Takahashi,1999,TokyoPop,1892213141,276862
66,234,3,Verraten und verkauft. Roman.,Philippe Djian,1990,Diogenes Verlag,3257218516,276866
66,235,8,Die Krone der Welt.,Peter Berling,1997,LÃ?Â¼bbe,3404126343,276866
